First name,Surname,Sex,Country,Swim time,Time T1,Cycle time,Time T2,Run time,Total time,T-shirt,Finish at,Year,Rank swim,Time after cycle,Rank after cycle,Rank final,Rank cycle,Rank run,Gain cycle,Gain run,b_pred,Tranche
Sara,Ertzaas,Female,Norway,1.8558333333333332,0.1411111111111111,10.290555555555555,0.04888888888888889,8.310833333333333,20.647222222222222,White,1000 meters,2011,77.20930232558139,12.146388888888888,100.0,100.0,100.0,100.0,22.79069767441861,0.0,91.47463592528192,100.0
Corey,Mckenna,Male,USA,1.3733280555555556,13.383333333333333,10.283328055555556,0.8833333333333333,7.247783888888889,19.16193611111111,White,1000 meters,2022,48.38709677419355,11.656656111111111,99.07834101382488,99.07834101382488,99.53917050691244,94.93087557603687,50.69124423963133,0.0,87.27311625502325,95.0
Kjetil ,Engja,Male,Norway,1.3675,0.12027777777777778,10.264444444444445,0.1613888888888889,5.878055555555555,17.791666666666668,White,1000 meters,2006,72.09302325581395,11.631944444444445,100.0,91.47286821705426,100.0,31.782945736434108,27.906976744186053,-8.527131782945744,34.93325493637451,100.0
Dawn,Conniff,Female,United States,1.5516666666666667,0.10222222222222223,10.229722222222222,0.049444444444444444,7.276944444444444,19.21,White,1000 meters,2013,88.37209302325581,11.781388888888888,99.06976744186046,98.6046511627907,99.06976744186046,97.67441860465115,10.697674418604649,-0.46511627906976116,89.54708884611462,95.0
Hildegunn,Espe,Female,Norway,1.6072222222222223,0.08861111111111111,10.189722222222223,0.1361111111111111,6.769444444444445,18.790555555555557,White,1000 meters,2013,92.09302325581396,11.796944444444446,99.53488372093024,98.13953488372093,98.6046511627907,86.04651162790698,7.441860465116278,-1.395348837209312,79.90935345027813,95.0
Stéphane,Godard,Male,France,1.6005555555555555,0.0811111111111111,10.150833333333333,0.07444444444444444,5.923611111111111,17.83,White,1000 meters,2013,91.62790697674419,11.751388888888888,98.6046511627907,93.95348837209302,98.13953488372093,45.58139534883721,6.976744186046517,-4.651162790697683,46.37003427276715,95.0
Jana,Wassmer,Female,Germany,1.4502777777777778,0.14694444444444443,10.143888888888888,0.17416666666666666,7.046111111111111,18.960833333333333,White,1000 meters,2014,87.4493927125506,11.594166666666666,99.59514170040485,99.19028340080972,99.19028340080972,97.57085020242914,12.145748987854248,-0.40485829959513353,89.46124666849988,95.0
Stephen,Coulson,Male,Great Britain,1.4605555555555556,0.09555555555555556,10.123055555555556,0.09555555555555556,8.524444444444445,20.299166666666668,White,1000 meters,2009,80.18018018018019,11.58361111111111,97.74774774774775,99.54954954954955,98.1981981981982,100.0,17.567567567567565,1.8018018018018012,91.47463592528192,95.0
Elisabeth Buer,Rødø,Female,Norway ,0.7730555555555556,0.15361111111111111,10.120277777777778,0.06416666666666666,7.641944444444444,18.752222222222223,White,1000 meters,2015,90.53497942386831,10.893333333333334,98.76543209876543,98.35390946502058,98.76543209876543,98.76543209876543,8.230452674897123,-0.4115226337448519,90.45137019189681,95.0
Ottar,Røed,Male,Norway ,0.7122222222222222,0.25916666666666666,10.112222222222222,0.10611111111111111,8.053333333333333,19.2425,White,1000 meters,2015,77.77777777777779,10.824444444444444,98.35390946502058,99.58847736625515,98.35390946502058,99.58847736625515,20.576131687242793,1.2345679012345698,91.13354734748688,95.0
Stephenie,Winter,Female,USA,1.80972,14.466666666666667,10.07750388888889,0.7166666666666667,7.406951944444444,19.562496111111113,White,1000 meters,2022,92.16589861751152,11.88722388888889,100.0,100.0,99.07834101382488,97.23502304147466,7.834101382488484,0.0,89.18289792332266,100.0
Hege,Mørch Fosse,Female,NOR,1.4413919444444445,9.783333333333333,10.052231944444445,8.683333333333334,7.166663888888889,18.968328055555556,White,1000 meters,2019,94.92753623188406,11.493623888888889,99.27536231884058,97.82608695652173,100.0,86.23188405797102,4.347826086956516,-1.4492753623188435,80.06299850731321,95.0
Belinda,Holdsworth Wikström,Female,United Kingdom,1.3452777777777778,0.12444444444444444,10.04888888888889,0.11388888888888889,5.838333333333333,17.470555555555556,White,1000 meters,2014,70.8502024291498,11.394166666666667,98.38056680161942,94.33198380566802,98.78542510121457,59.51417004048582,27.53036437246962,-4.048582995951406,57.91814831224798,95.0
Tu N.,Tran,Male,United States,1.513611111111111,0.08861111111111111,10.045,0.21583333333333332,6.721388888888889,18.58416666666667,White,1000 meters,2013,84.18604651162791,11.55861111111111,97.67441860465115,96.27906976744185,97.67441860465115,84.18604651162791,13.488372093023244,-1.3953488372092977,78.36731578694429,95.0
James,Bayhack,Male,RSA,1.4147280555555555,8.55,10.019711944444445,6.933333333333334,7.768608055555556,19.46193611111111,White,1000 meters,2019,90.21739130434783,11.43444,98.91304347826086,99.27536231884058,99.63768115942028,94.56521739130434,8.695652173913032,0.36231884057971797,86.97004220766269,95.0
Paulo,Rua,Male,Portugal,1.28,0.1852777777777778,10.014444444444445,0.22444444444444445,5.657777777777778,17.36111111111111,White,1000 meters,2014,59.51417004048582,11.294444444444444,97.57085020242914,93.52226720647774,98.38056680161942,48.987854251012145,38.05668016194332,-4.048582995951406,49.19346153285916,95.0
Stein Frode,Bech,Male,Norway,1.2958333333333334,0.16666666666666666,10.0,0.26666666666666666,6.75,18.479166666666668,White,1000 meters,2009,54.5045045045045,11.295833333333334,95.4954954954955,95.04504504504504,97.74774774774775,72.52252252252252,40.990990990991,-0.45045045045046095,68.70005939980524,95.0
Andreas Ola,Haavik,Male,Norway,1.4638888888888888,0.20666666666666667,9.998333333333333,0.15472222222222223,6.552222222222222,18.37527777777778,White,1000 meters,2014,88.25910931174089,11.462222222222222,99.19028340080972,98.38056680161942,97.97570850202429,86.63967611336032,10.931174089068833,-0.8097165991902955,80.40099501298072,95.0
Rob,Lyons,Male,United Kingdom ,0.6583333333333333,0.18944444444444444,9.981666666666667,0.12777777777777777,6.133611111111111,17.090555555555557,White,1000 meters,2015,51.028806584362144,10.64,97.94238683127571,96.29629629629629,97.94238683127571,77.36625514403292,46.91358024691357,-1.6460905349794217,72.71476414655493,95.0
Neridah,bermingham,Female,Australia,1.3844444444444444,0.24305555555555555,9.97638888888889,0.17055555555555554,5.579444444444444,17.35361111111111,White,1000 meters,2014,79.35222672064778,11.360833333333334,97.97570850202429,93.11740890688259,97.57085020242914,39.67611336032389,18.623481781376512,-4.858299595141702,41.47546938186136,95.0
Rachel,Powell,Female,United Kingdom,2.061111111111111,0.23555555555555555,9.971388888888889,0.1897222222222222,6.469722222222222,18.9275,White,1000 meters,2008,82.82208588957054,12.032499999999999,100.0,98.15950920245399,100.0,57.668711656441715,17.177914110429455,-1.8404907975460105,56.3885489075557,100.0
Christian,Carstensen,Male,NOR,1.2969361111111113,6.2,9.96945611111111,7.766666666666667,8.509728055555556,20.009159999999998,White,1000 meters,2019,85.86956521739131,11.266392222222223,98.55072463768117,100.0,99.27536231884058,98.91304347826086,12.681159420289859,1.4492753623188293,90.57371718175807,95.0
Eunice,Macias,Female,MEX,1.2038880555555556,5.6,9.96861611111111,3.5,7.7736,19.09833611111111,White,1000 meters,2019,71.73913043478261,11.172504166666666,98.18840579710145,98.55072463768117,98.91304347826086,94.92753623188406,26.449275362318843,0.36231884057971797,87.27034845550398,95.0
Andrew,Green,Male,United Kingdom,1.4905555555555556,0.06305555555555556,9.966388888888888,0.1313888888888889,7.333055555555555,18.984444444444446,White,1000 meters,2009,86.03603603603604,11.456944444444444,96.3963963963964,97.74774774774775,97.2972972972973,90.09009009009009,10.36036036036036,1.3513513513513544,83.26085422756901,95.0
Morten Dahl ,Hermansen,Male,Norway,1.4761111111111112,0.10388888888888889,9.964444444444444,0.15583333333333332,8.303055555555556,20.003333333333334,White,1000 meters,2006,85.27131782945736,11.440555555555555,99.2248062015504,100.0,99.2248062015504,96.89922480620154,13.953488372093034,0.7751937984496067,88.90457315305885,95.0
Jone,Jonsson,Male,Norway,1.3680555555555556,0.09305555555555556,9.9525,0.08166666666666667,7.096666666666667,18.591666666666665,White,1000 meters,2013,66.51162790697674,11.320555555555556,97.20930232558139,97.20930232558139,97.20930232558139,95.81395348837209,30.69767441860465,0.0,88.00505118278079,95.0
Frank,Horras,Male,Germany,1.3625,0.11277777777777778,9.922222222222222,0.37694444444444447,7.661388888888889,19.435555555555556,White,1000 meters,2013,65.11627906976744,11.284722222222223,96.74418604651163,99.53488372093024,96.74418604651163,99.06976744186046,31.627906976744185,2.7906976744186096,90.703617093615,95.0
Renate,Evensen ,Female,Norway,1.6513888888888888,0.12694444444444444,9.921388888888888,0.11611111111111111,8.01,19.825833333333332,White,1000 meters,2009,93.24324324324324,11.572777777777777,97.2972972972973,99.09909909909909,96.84684684684684,99.09909909909909,4.054054054054063,1.801801801801787,90.72792849821711,95.0
Hans,Bosman,Male,NED,1.5974880555555557,9.016666666666667,9.917231944444445,8.333333333333334,7.9614,19.76582388888889,White,1000 meters,2019,97.46376811594203,11.51472,99.63768115942028,99.63768115942028,98.55072463768117,95.65217391304348,2.173913043478251,0.0,87.87096095118655,95.0
Kelly,Langley,Male,GBR,1.2155519444444445,7.416666666666667,9.915551944444445,14.766666666666667,7.215288055555556,18.716663888888892,White,1000 meters,2019,72.82608695652173,11.13110388888889,97.82608695652173,96.73913043478261,98.18840579710145,88.40579710144928,25.0,-1.0869565217391255,81.8648359943609,95.0
Basia,Vanderveen,Female,Norway,1.8230555555555557,0.11194444444444444,9.906944444444445,0.11916666666666667,6.871944444444445,18.83222222222222,White,1000 meters,2016,93.93939393939394,11.73,100.0,99.56709956709958,100.0,89.17748917748918,6.060606060606062,-0.4329004329004249,82.50444930145142,100.0
Karsten,Nolte,Male,Germany,1.6827777777777777,0.11861111111111111,9.903333333333334,0.19111111111111112,5.841666666666667,17.7375,White,1000 meters,2009,94.14414414414415,11.586111111111112,98.1981981981982,89.63963963963964,96.3963963963964,30.180180180180184,4.054054054054049,-8.558558558558559,33.60481032775921,95.0
Raymond ,Tuv,Male,Norway,1.5005555555555556,0.13027777777777777,9.891944444444444,0.16916666666666666,6.495277777777778,18.18777777777778,White,1000 meters,2012,87.75,11.3925,99.75,98.5,100.0,79.75,12.0,-1.25,74.69051973343267,95.0
Lani,Seaman,Female,United States,1.0808333333333333,0.12,9.885833333333334,0.13833333333333334,7.672777777777778,18.897222222222222,White,1000 meters,2016,3.463203463203463,10.966666666666667,96.53679653679653,100.0,99.56709956709958,98.7012987012987,93.07359307359306,3.4632034632034703,90.39821353042225,95.0
Frode,Vittersø,Male,Norway,1.3102777777777779,0.0925,9.875555555555556,0.2286111111111111,6.813055555555556,18.32,White,1000 meters,2009,57.20720720720721,11.185833333333333,94.5945945945946,94.5945945945946,95.94594594594594,76.12612612612612,37.387387387387385,0.0,71.68688910806448,90.0
Stian,Aleksandersen,Male,NOR,1.5066719444444445,8.183333333333334,9.867216111111112,6.45,7.519176111111111,19.137503888888887,White,1000 meters,2018,88.78504672897196,11.373888055555557,99.53271028037383,99.06542056074767,100.0,98.13084112149532,10.747663551401871,-0.46728971962616583,89.92539247847455,95.0
Laurent,CASTILLO,Male,France,1.5219444444444445,0.14972222222222223,9.831944444444444,0.17277777777777778,6.931388888888889,18.607222222222223,White,1000 meters,2016,63.63636363636363,11.35388888888889,98.7012987012987,99.13419913419914,99.13419913419914,91.34199134199135,35.064935064935064,0.4329004329004391,84.29848662621752,95.0
Johanna,Tuuf,Female,Sweden,1.6994444444444445,0.15722222222222224,9.798055555555555,0.1711111111111111,6.135277777777778,17.960555555555555,White,1000 meters,2016,86.14718614718615,11.497499999999999,99.56709956709958,95.67099567099568,98.7012987012987,69.26406926406926,13.419913419913428,-3.896103896103895,65.99930591360331,95.0
Chris,Kateifides,Male,Cyprus,2.0530555555555554,0.15055555555555555,9.790833333333333,0.04055555555555555,5.7091666666666665,17.74416666666667,White,1000 meters,2011,88.37209302325581,11.84388888888889,99.53488372093024,96.27906976744185,99.53488372093024,49.76744186046512,11.162790697674424,-3.255813953488385,49.83961901526828,95.0
Edward,Gladwyn,Male,United Kingdom,1.4697222222222222,0.11055555555555556,9.785277777777777,0.13166666666666665,7.344444444444444,18.841666666666665,White,1000 meters,2009,81.98198198198197,11.254999999999999,95.04504504504504,97.2972972972973,95.4954954954955,91.44144144144144,13.063063063063069,2.252252252252262,84.38091536816623,95.0
Alessandra,Perbellini,Female,Italy,1.7858333333333334,0.2911111111111111,9.778611111111111,0.10027777777777777,5.788333333333333,17.74416666666667,White,1000 meters,2011,74.4186046511628,11.564444444444444,97.20930232558139,96.27906976744185,99.06976744186046,53.95348837209303,22.790697674418595,-0.9302325581395365,53.309203757769424,95.0
Marte,Christensen,Female,NOR,2.1894480555555553,8.283333333333333,9.75972,0.3333333333333333,6.440543888888889,18.543888055555556,White,1000 meters,2021,97.61904761904762,11.949168055555555,100.0,96.42857142857143,100.0,82.14285714285714,2.3809523809523796,-3.5714285714285694,76.67382799596159,100.0
Robert,Almklov,Male,Norway ,0.6358333333333334,0.16083333333333333,9.7575,0.18555555555555556,6.538333333333333,17.27777777777778,White,1000 meters,2015,42.79835390946502,10.393333333333334,97.53086419753086,97.11934156378601,97.53086419753086,89.7119341563786,54.73251028806584,-0.4115226337448519,82.94742148040602,95.0
Yudiana,Fianto,Male,INA,1.5988799999999999,11.05,9.75084,5.5,8.176656111111111,19.80249611111111,White,1000 meters,2018,93.45794392523365,11.34972,99.06542056074767,100.0,99.53271028037383,100.0,5.607476635514018,0.9345794392523317,91.47463592528192,95.0
Peter,Rotstam,Male,Sweden,1.1925,0.11305555555555556,9.74388888888889,0.12555555555555556,7.0072222222222225,18.18138888888889,White,1000 meters,2013,18.13953488372093,10.936388888888889,93.02325581395348,94.88372093023256,96.27906976744185,94.41860465116278,74.88372093023256,1.860465116279073,86.8485229352804,90.0
Massimiliano,Marta,Male,Italy,1.3455555555555556,0.15694444444444444,9.730555555555556,0.1913888888888889,6.735833333333333,18.16027777777778,White,1000 meters,2014,71.65991902834008,11.076111111111112,96.76113360323887,97.57085020242914,97.16599190283401,92.3076923076923,25.10121457489879,0.8097165991902671,85.09890327880547,95.0
Paul,Looker,Male,Canada,1.3502777777777777,0.12361111111111112,9.721388888888889,0.1511111111111111,6.4319444444444445,17.778055555555557,White,1000 meters,2016,41.55844155844156,11.071666666666667,97.40259740259741,94.37229437229438,98.26839826839827,78.35497835497836,55.84415584415585,-3.030303030303031,73.53426267762092,95.0
Virginia,Scholz,Female,GER,1.311383888888889,12.6,9.6936,14.316666666666666,6.09333611111111,17.547768055555554,White,1000 meters,2017,65.50218340611353,11.004983888888889,99.12663755458514,95.19650655021834,100.0,59.388646288209614,33.624454148471614,-3.9301310043667996,57.81410854715955,95.0
Morten Dahl,Hermansen,Male,Norway,2.1347222222222224,0.12,9.690555555555555,0.13805555555555554,7.352777777777778,19.43611111111111,White,1000 meters,2008,88.34355828220859,11.825277777777778,99.38650306748467,100.0,99.38650306748467,88.34355828220859,11.042944785276077,0.6134969325153321,81.81324964503847,95.0
Grant,Butterfield,Male,Australia,1.7952777777777778,0.1922222222222222,9.688611111111111,0.058333333333333334,6.766388888888889,18.50027777777778,White,1000 meters,2016,93.5064935064935,11.483888888888888,99.13419913419914,98.7012987012987,97.83549783549783,85.71428571428571,5.627705627705637,-0.4329004329004391,79.63398958182566,95.0
Alexandre,Borges,Male,FRA,2.031383888888889,12.416666666666666,9.679991944444444,11.833333333333334,6.853056111111111,18.96888,White,1000 meters,2018,99.06542056074767,11.711375833333333,100.0,98.5981308411215,99.06542056074767,87.85046728971963,0.9345794392523317,-1.4018691588784975,81.40455352103407,100.0
Marco,Epifanio,Male,USA,1.2949919444444442,3.716666666666667,9.670271944444444,4.266666666666667,6.978048055555556,18.07665611111111,White,1000 meters,2019,85.5072463768116,10.965263888888888,97.10144927536231,95.28985507246377,97.82608695652173,82.6086956521739,11.59420289855072,-1.8115942028985472,77.05993602890038,95.0
Stian ,Heimsvik,Male,Norway,1.9344444444444444,0.12916666666666668,9.6675,0.09111111111111111,6.346388888888889,18.169166666666666,White,1000 meters,2012,100.0,11.601944444444445,100.0,98.25,99.75,75.0,0.0,-1.75,70.75350482423346,100.0
Seyda,Erkahraman,Female,TUR,1.566936111111111,17.783333333333335,9.662231944444445,18.083333333333332,5.806943888888889,17.634719999999998,White,1000 meters,2018,92.05607476635514,11.229168055555556,98.5981308411215,96.72897196261682,98.5981308411215,47.19626168224299,6.542056074766364,-1.8691588785046775,47.708508552973974,95.0
Daniel,Foster,Male,Norway,1.3622222222222222,0.08166666666666667,9.661388888888888,0.1502777777777778,5.9847222222222225,17.239722222222223,White,1000 meters,2013,64.65116279069767,11.02361111111111,94.41860465116278,90.69767441860465,95.81395348837209,49.76744186046512,29.767441860465112,-3.720930232558132,49.83961901526828,90.0
